,gene,subject,PID,alnLength,mismatchCount,gapOpenCount,queryStart,queryEnd,subjectStart,subjectEnd,eVal,bitScore,gene_length,COV,BBH
0,STM474_0001,STM14_0001,100.0,21,0,0,1,21,1,21,1.66e-07,37.7,21,1.0,<=>
1,STM474_0002,STM14_0002,100.0,820,0,0,1,820,1,820,0.0,1682.0,820,1.0,<=>
5,STM474_0003,STM14_0003,100.0,309,0,0,1,309,1,309,0.0,638.0,309,1.0,<=>
6,STM474_0004,STM14_0004,100.0,428,0,0,1,428,1,428,0.0,882.0,428,1.0,<=>
7,STM474_0005,STM14_0005,100.0,257,0,0,1,257,1,257,0.0,529.0,257,1.0,<=>
8,STM474_0006,STM14_0006,100.0,476,0,0,10,485,1,476,0.0,955.0,485,0.9814432989690721,<=>
10,STM474_0007,STM14_0007,100.0,317,0,0,24,340,1,317,0.0,650.0,340,0.9323529411764706,<=>
13,STM474_0008,STM14_0008,100.0,196,0,0,1,196,1,196,1.5299999999999996e-144,397.0,196,1.0,<=>
15,STM474_0009,STM14_0009,100.0,188,0,0,1,188,1,188,1.1199999999999998e-132,366.0,188,1.0,<=>
16,STM474_0010,STM14_0010,100.0,237,0,0,1,237,1,237,1.0399999999999998e-177,484.0,237,1.0,<=>
17,STM474_0011,STM14_0011,100.0,134,0,0,1,134,1,134,1.4099999999999994e-97,273.0,134,1.0,<=>
19,STM474_0013,STM14_0013,100.0,638,0,0,1,638,1,638,0.0,1291.0,638,1.0,<=>
24,STM474_0014,STM14_0014,100.0,379,0,0,1,379,1,379,0.0,774.0,379,1.0,<=>
26,STM474_0015,STM14_0016,100.0,315,0,0,1,315,1,315,0.0,647.0,315,1.0,<=>
35,STM474_0016,STM14_0017,100.0,114,0,0,1,114,1,114,7.28e-80,227.0,114,1.0,<=>
36,STM474_0017,STM14_0018,100.0,177,0,0,1,177,1,177,8.0199999999999975e-134,369.0,177,1.0,<=>
37,STM474_0018,STM14_0019,99.32,147,1,0,1,147,1,147,3.0499999999999997e-107,299.0,147,1.0,<=>
41,STM474_0019,STM14_0022,100.0,699,0,0,1,699,1,699,0.0,1436.0,699,1.0,<=>
42,STM474_0020,STM14_0023,100.0,998,0,0,1,998,1,998,0.0,2049.0,998,1.0,<=>
43,STM474_0021,STM14_0025,100.0,234,0,0,1,234,1,234,2.4799999999999992e-179,488.0,234,1.0,<=>
