,gene,subject,PID,alnLength,mismatchCount,gapOpenCount,queryStart,queryEnd,subjectStart,subjectEnd,eVal,bitScore,gene_length,COV,BBH
0,STMUK_0001,STM14_0001,100.0,21,0,0,1,21,1,21,1.66e-07,37.7,21,1.0,<=>
1,STMUK_0002,STM14_0002,100.0,820,0,0,1,820,1,820,0.0,1682.0,820,1.0,<=>
5,STMUK_0003,STM14_0003,100.0,309,0,0,1,309,1,309,0.0,638.0,309,1.0,<=>
6,STMUK_0004,STM14_0004,100.0,428,0,0,1,428,1,428,0.0,882.0,428,1.0,<=>
7,STMUK_0005,STM14_0005,100.0,257,0,0,1,257,1,257,0.0,529.0,257,1.0,<=>
8,STMUK_0006,STM14_0006,100.0,476,0,0,1,476,1,476,0.0,954.0,476,1.0,<=>
10,STMUK_0007,STM14_0007,100.0,317,0,0,1,317,1,317,0.0,649.0,317,1.0,<=>
13,STMUK_0008,STM14_0008,100.0,196,0,0,1,196,1,196,1.5299999999999996e-144,397.0,196,1.0,<=>
15,STMUK_0009,STM14_0009,100.0,188,0,0,1,188,1,188,1.1199999999999998e-132,366.0,188,1.0,<=>
16,STMUK_0010,STM14_0010,100.0,237,0,0,1,237,1,237,1.0399999999999998e-177,484.0,237,1.0,<=>
17,STMUK_0011,STM14_0011,100.0,134,0,0,1,134,1,134,1.4099999999999994e-97,273.0,134,1.0,<=>
18,STMUK_0012,STM14_0013,100.0,638,0,0,1,638,1,638,0.0,1291.0,638,1.0,<=>
23,STMUK_0013,STM14_0014,100.0,379,0,0,1,379,1,379,0.0,774.0,379,1.0,<=>
25,STMUK_0014,STM14_0016,100.0,315,0,0,1,315,1,315,0.0,647.0,315,1.0,<=>
34,STMUK_0015,STM14_0017,100.0,114,0,0,1,114,1,114,7.28e-80,227.0,114,1.0,<=>
35,STMUK_0016,STM14_0018,100.0,177,0,0,1,177,1,177,8.0199999999999975e-134,369.0,177,1.0,<=>
36,STMUK_0017,STM14_0019,100.0,147,0,0,1,147,1,147,6.999999999999998e-108,300.0,147,1.0,<=>
40,STMUK_0018,STM14_0022,100.0,699,0,0,1,699,1,699,0.0,1436.0,699,1.0,<=>
41,STMUK_0019,STM14_0023,100.0,998,0,0,1,998,1,998,0.0,2049.0,998,1.0,<=>
42,STMUK_0020,STM14_0025,100.0,234,0,0,1,234,1,234,2.4799999999999992e-179,488.0,234,1.0,<=>
45,STMUK_0021,STM14_0028,100.0,180,0,0,1,180,1,180,1.4299999999999995e-128,355.0,180,1.0,<=>
58,STMUK_0022,STM14_0029,100.0,228,0,0,1,228,48,275,2.349999999999999e-167,459.0,228,1.0,<=>
71,STMUK_0023,STM14_0030,100.0,873,0,0,1,873,1,873,0.0,1793.0,873,1.0,<=>
83,STMUK_0024,STM14_0031,100.0,335,0,0,1,335,1,335,0.0,685.0,335,1.0,<=>
87,STMUK_0025,STM14_0032,100.0,181,0,0,1,181,1,181,5.739999999999999e-136,374.0,181,1.0,<=>
101,STMUK_0026,STM14_0033,100.0,172,0,0,1,172,1,172,1.1499999999999998e-125,347.0,172,1.0,<=>
114,STMUK_0027,STM14_0034,100.0,243,0,0,1,243,1,243,0.0,502.0,243,1.0,<=>
127,STMUK_0028,STM14_0035,100.0,281,0,0,1,281,1,281,0.0,579.0,281,1.0,<=>
130,STMUK_0029,STM14_0036,100.0,95,0,0,1,95,15,109,2.2799999999999999e-69,199.0,95,1.0,<=>
132,STMUK_0030,STM14_0037,100.0,149,0,0,1,149,1,149,5.639999999999999e-110,306.0,149,1.0,<=>
138,STMUK_0031,STM14_0038,100.0,334,0,0,1,334,1,334,0.0,689.0,334,1.0,<=>
156,STMUK_0032,STM14_0039,100.0,146,0,0,1,146,1,146,1.04e-107,300.0,146,1.0,<=>
161,STMUK_0033,STM14_0041,100.0,572,0,0,1,572,1,572,0.0,1191.0,572,1.0,<=>
166,STMUK_0034,STM14_0042,100.0,523,0,0,1,523,1,523,0.0,1066.0,523,1.0,<=>
170,STMUK_0035,STM14_0043,100.0,253,0,0,1,253,1,253,0.0,521.0,253,1.0,<=>
172,STMUK_0036,STM14_0044,100.0,497,0,0,1,497,1,497,0.0,1026.0,497,1.0,<=>
176,STMUK_0037,STM14_0045,100.0,396,0,0,1,396,1,396,0.0,840.0,396,1.0,<=>
181,STMUK_0038,STM14_0046,100.0,417,0,0,1,417,1,417,0.0,872.0,417,1.0,<=>
183,STMUK_0039,STM14_0047,100.0,571,0,0,1,571,1,571,0.0,1188.0,571,1.0,<=>
188,STMUK_0040,STM14_0048,100.0,388,0,0,1,388,1,388,0.0,759.0,388,1.0,<=>
