,gene,subject,PID,alnLength,mismatchCount,gapOpenCount,queryStart,queryEnd,subjectStart,subjectEnd,eVal,bitScore,gene_length,COV,BBH
0,STMUK_0001,STM0001,100.0,21,0,0,1,21,1,21,8e-07,37.7,21,1.0,<=>
1,STMUK_0002,STM0002,100.0,820,0,0,1,820,1,820,0.0,1682.0,820,1.0,<=>
5,STMUK_0003,STM0003,100.0,309,0,0,1,309,1,309,0.0,638.0,309,1.0,<=>
6,STMUK_0004,STM0004,100.0,428,0,0,1,428,1,428,0.0,882.0,428,1.0,<=>
7,STMUK_0005,STM0005,100.0,257,0,0,1,257,1,257,0.0,529.0,257,1.0,<=>
8,STMUK_0006,STM0006,100.0,476,0,0,1,476,1,476,0.0,954.0,476,1.0,<=>
10,STMUK_0007,STM0007,100.0,317,0,0,1,317,1,317,0.0,649.0,317,1.0,<=>
13,STMUK_0008,STM0008,100.0,196,0,0,1,196,1,196,9.999999999999997e-143,397.0,196,1.0,<=>
15,STMUK_0009,STM0009,100.0,188,0,0,1,188,1,188,6.999999999999997e-131,366.0,188,1.0,<=>
16,STMUK_0010,STM0010,100.0,237,0,0,1,237,1,237,7.999999999999997e-176,484.0,237,1.0,<=>
17,STMUK_0011,STM0011,100.0,134,0,0,1,134,1,134,5.9999999999999994e-96,273.0,134,1.0,<=>
18,STMUK_0012,STM0012,100.0,638,0,0,1,638,1,638,0.0,1291.0,638,1.0,<=>
23,STMUK_0013,STM0013,100.0,379,0,0,1,379,1,379,0.0,774.0,379,1.0,<=>
25,STMUK_0014,STM0014,99.68,315,1,0,1,315,1,315,0.0,645.0,315,1.0,<=>
34,STMUK_0015,STM0015,100.0,114,0,0,1,114,1,114,2.9999999999999994e-78,227.0,114,1.0,<=>
35,STMUK_0016,STM0016,100.0,177,0,0,1,177,1,177,4.9999999999999987e-132,369.0,177,1.0,<=>
36,STMUK_0017,STM0017,99.32,147,1,0,1,147,1,147,1.9999999999999995e-105,299.0,147,1.0,<=>
40,STMUK_0018,STM0018,100.0,699,0,0,1,699,1,699,0.0,1436.0,699,1.0,<=>
41,STMUK_0019,STM0019,100.0,998,0,0,1,998,1,998,0.0,2049.0,998,1.0,<=>
42,STMUK_0020,STM0020,100.0,234,0,0,1,234,1,234,1.9999999999999995e-177,488.0,234,1.0,<=>
45,STMUK_0021,STM0021,100.0,180,0,0,1,180,1,180,7.999999999999997e-127,355.0,180,1.0,<=>
58,STMUK_0022,STM0022,100.0,228,0,0,1,228,1,228,2.999999999999999e-166,459.0,228,1.0,<=>
71,STMUK_0023,STM0023,100.0,873,0,0,1,873,1,873,0.0,1793.0,873,1.0,<=>
83,STMUK_0024,STM0024,100.0,335,0,0,1,335,1,335,0.0,685.0,335,1.0,<=>
88,STMUK_0025,STM0025,100.0,181,0,0,1,181,1,181,3.9999999999999987e-134,374.0,181,1.0,<=>
102,STMUK_0026,STM0026,100.0,172,0,0,1,172,1,172,6.999999999999998e-124,347.0,172,1.0,<=>
115,STMUK_0027,STM0027,100.0,243,0,0,1,243,1,243,0.0,502.0,243,1.0,<=>
128,STMUK_0028,STM0028,100.0,281,0,0,1,281,1,281,0.0,579.0,281,1.0,<=>
132,STMUK_0030,STM0029,100.0,149,0,0,1,149,1,149,2.999999999999999e-108,306.0,149,1.0,<=>
138,STMUK_0031,STM0030,99.7,334,1,0,1,334,1,334,0.0,686.0,334,1.0,<=>
156,STMUK_0032,STM0031,99.32,146,1,0,1,146,1,146,4.999999999999999e-105,297.0,146,1.0,<=>
161,STMUK_0033,STM0032,100.0,572,0,0,1,572,1,572,0.0,1191.0,572,1.0,<=>
166,STMUK_0034,STM0033,100.0,523,0,0,1,523,1,523,0.0,1066.0,523,1.0,<=>
170,STMUK_0035,STM0034,100.0,253,0,0,1,253,1,253,0.0,521.0,253,1.0,<=>
172,STMUK_0036,STM0035,100.0,497,0,0,1,497,1,497,0.0,1026.0,497,1.0,<=>
176,STMUK_0037,STM0036,100.0,396,0,0,1,396,1,396,0.0,840.0,396,1.0,<=>
181,STMUK_0038,STM0037,100.0,417,0,0,1,417,1,417,0.0,872.0,417,1.0,<=>
183,STMUK_0039,STM0038,100.0,571,0,0,1,571,1,571,0.0,1188.0,571,1.0,<=>
188,STMUK_0040,STM0039,100.0,388,0,0,1,388,1,388,0.0,759.0,388,1.0,<=>
189,STMUK_0041,STM0040,99.67,299,1,0,1,299,1,299,0.0,620.0,299,1.0,<=>
207,STMUK_0042,STM0041,100.0,679,0,0,1,679,1,679,0.0,1418.0,679,1.0,<=>
210,STMUK_0043,STM0042,100.0,457,0,0,1,457,1,457,0.0,916.0,457,1.0,<=>
217,STMUK_0044,STM0043,100.0,87,0,0,1,87,1,87,1e-56,170.0,87,1.0,<=>
218,STMUK_0045,STM0044,100.0,71,0,0,1,71,1,71,1.9999999999999997e-47,145.0,71,1.0,<=>
219,STMUK_0046,STM0045,100.0,312,0,0,1,312,1,312,0.0,626.0,312,1.0,<=>
220,STMUK_0047,STM0046,100.0,944,0,0,1,944,1,944,0.0,1966.0,944,1.0,<=>
225,STMUK_0048,STM0047,100.0,166,0,0,1,166,1,166,2.999999999999999e-119,335.0,166,1.0,<=>
226,STMUK_0049,STM0048,100.0,149,0,0,1,149,1,149,9.999999999999998e-107,301.0,149,1.0,<=>
228,STMUK_0050,STM0049,100.0,316,0,0,1,316,1,316,0.0,645.0,316,1.0,<=>
