,gene,subject,PID,alnLength,mismatchCount,gapOpenCount,queryStart,queryEnd,subjectStart,subjectEnd,eVal,bitScore,gene_length,COV,BBH
0,STM14_0001,STM0001,100.0,21,0,0,1,21,1,21,8e-07,37.7,21,1.0,<=>
1,STM14_0002,STM0002,100.0,820,0,0,1,820,1,820,0.0,1682.0,820,1.0,<=>
5,STM14_0003,STM0003,100.0,309,0,0,1,309,1,309,0.0,638.0,309,1.0,<=>
6,STM14_0004,STM0004,100.0,428,0,0,1,428,1,428,0.0,882.0,428,1.0,<=>
7,STM14_0005,STM0005,100.0,257,0,0,1,257,1,257,0.0,529.0,257,1.0,<=>
8,STM14_0006,STM0006,100.0,476,0,0,1,476,1,476,0.0,954.0,476,1.0,<=>
10,STM14_0007,STM0007,100.0,317,0,0,1,317,1,317,0.0,649.0,317,1.0,<=>
13,STM14_0008,STM0008,100.0,196,0,0,1,196,1,196,9.999999999999997e-143,397.0,196,1.0,<=>
15,STM14_0009,STM0009,100.0,188,0,0,1,188,1,188,6.999999999999997e-131,366.0,188,1.0,<=>
16,STM14_0010,STM0010,100.0,237,0,0,1,237,1,237,7.999999999999997e-176,484.0,237,1.0,<=>
17,STM14_0011,STM0011,100.0,134,0,0,1,134,1,134,5.9999999999999994e-96,273.0,134,1.0,<=>
18,STM14_0013,STM0012,100.0,638,0,0,1,638,1,638,0.0,1291.0,638,1.0,<=>
23,STM14_0014,STM0013,100.0,379,0,0,1,379,1,379,0.0,774.0,379,1.0,<=>
25,STM14_0016,STM0014,99.68,315,1,0,1,315,1,315,0.0,645.0,315,1.0,<=>
34,STM14_0017,STM0015,100.0,114,0,0,1,114,1,114,2.9999999999999994e-78,227.0,114,1.0,<=>
35,STM14_0018,STM0016,100.0,177,0,0,1,177,1,177,4.9999999999999987e-132,369.0,177,1.0,<=>
36,STM14_0019,STM0017,99.32,147,1,0,1,147,1,147,1.9999999999999995e-105,299.0,147,1.0,<=>
40,STM14_0022,STM0018,100.0,699,0,0,1,699,1,699,0.0,1436.0,699,1.0,<=>
41,STM14_0023,STM0019,100.0,998,0,0,1,998,1,998,0.0,2049.0,998,1.0,<=>
42,STM14_0025,STM0020,100.0,234,0,0,1,234,1,234,1.9999999999999995e-177,488.0,234,1.0,<=>
45,STM14_0028,STM0021,100.0,180,0,0,1,180,1,180,7.999999999999997e-127,355.0,180,1.0,<=>
58,STM14_0029,STM0022,100.0,228,0,0,48,275,1,228,1.9999999999999995e-165,459.0,275,0.8290909090909091,<=>
71,STM14_0030,STM0023,100.0,873,0,0,1,873,1,873,0.0,1793.0,873,1.0,<=>
83,STM14_0031,STM0024,100.0,335,0,0,1,335,1,335,0.0,685.0,335,1.0,<=>
88,STM14_0032,STM0025,100.0,181,0,0,1,181,1,181,3.9999999999999987e-134,374.0,181,1.0,<=>
102,STM14_0033,STM0026,100.0,172,0,0,1,172,1,172,6.999999999999998e-124,347.0,172,1.0,<=>
115,STM14_0034,STM0027,100.0,243,0,0,1,243,1,243,0.0,502.0,243,1.0,<=>
128,STM14_0035,STM0028,100.0,281,0,0,1,281,1,281,0.0,579.0,281,1.0,<=>
132,STM14_0037,STM0029,100.0,149,0,0,1,149,1,149,2.999999999999999e-108,306.0,149,1.0,<=>
138,STM14_0038,STM0030,99.7,334,1,0,1,334,1,334,0.0,686.0,334,1.0,<=>
156,STM14_0039,STM0031,99.32,146,1,0,1,146,1,146,4.999999999999999e-105,297.0,146,1.0,<=>
161,STM14_0041,STM0032,100.0,572,0,0,1,572,1,572,0.0,1191.0,572,1.0,<=>
166,STM14_0042,STM0033,100.0,523,0,0,1,523,1,523,0.0,1066.0,523,1.0,<=>
170,STM14_0043,STM0034,100.0,253,0,0,1,253,1,253,0.0,521.0,253,1.0,<=>
172,STM14_0044,STM0035,100.0,497,0,0,1,497,1,497,0.0,1026.0,497,1.0,<=>
176,STM14_0045,STM0036,100.0,396,0,0,1,396,1,396,0.0,840.0,396,1.0,<=>
181,STM14_0046,STM0037,100.0,417,0,0,1,417,1,417,0.0,872.0,417,1.0,<=>
183,STM14_0047,STM0038,100.0,571,0,0,1,571,1,571,0.0,1188.0,571,1.0,<=>
188,STM14_0048,STM0039,100.0,388,0,0,1,388,1,388,0.0,759.0,388,1.0,<=>
189,STM14_0049,STM0040,99.67,299,1,0,1,299,1,299,0.0,620.0,299,1.0,<=>
207,STM14_0050,STM0041,100.0,679,0,0,1,679,1,679,0.0,1418.0,679,1.0,<=>
210,STM14_0051,STM0042,100.0,457,0,0,1,457,1,457,0.0,916.0,457,1.0,<=>
217,STM14_0052,STM0043,100.0,87,0,0,1,87,1,87,1e-56,170.0,87,1.0,<=>
218,STM14_0053,STM0044,100.0,71,0,0,1,71,1,71,1.9999999999999997e-47,145.0,71,1.0,<=>
219,STM14_0054,STM0045,100.0,312,0,0,1,312,1,312,0.0,626.0,312,1.0,<=>
220,STM14_0055,STM0046,100.0,944,0,0,1,944,1,944,0.0,1966.0,944,1.0,<=>
225,STM14_0056,STM0047,100.0,166,0,0,1,166,1,166,2.999999999999999e-119,335.0,166,1.0,<=>
226,STM14_0058,STM0048,100.0,149,0,0,1,149,1,149,9.999999999999998e-107,301.0,149,1.0,<=>
228,STM14_0059,STM0049,100.0,316,0,0,1,316,1,316,0.0,645.0,316,1.0,<=>
229,STM14_0060,STM0050,100.0,400,0,0,1,400,1,400,0.0,830.0,400,1.0,<=>
230,STM14_0061,STM0051,100.0,306,0,0,1,306,1,306,0.0,629.0,306,1.0,<=>
232,STM14_0062,STM0052,100.0,228,0,0,1,228,1,228,9.999999999999997e-170,468.0,228,1.0,<=>
252,STM14_0063,STM0053,99.81,539,1,0,1,539,1,539,0.0,1107.0,539,1.0,<=>
262,STM14_0064,STM0054,100.0,433,0,0,1,433,1,433,0.0,839.0,433,1.0,<=>
265,STM14_0065,STM3352,99.83,591,1,0,1,591,1,591,0.0,1199.0,591,1.0,<=>
268,STM14_0066,STM0056,100.0,79,0,0,1,79,1,79,7e-51,154.0,79,1.0,<=>
271,STM14_0067,STM0057,100.0,446,0,0,1,446,1,446,0.0,889.0,446,1.0,<=>
272,STM14_0069,STM0058,100.0,347,0,0,1,347,1,347,0.0,717.0,347,1.0,<=>
274,STM14_0070,STM0059,100.0,97,0,0,1,97,1,97,9.999999999999998e-64,188.0,97,1.0,<=>
276,STM14_0071,STM0060,99.65,289,1,0,1,289,1,289,0.0,586.0,289,1.0,<=>
280,STM14_0072,STM0061,100.0,506,0,0,1,506,1,506,0.0,1043.0,506,1.0,<=>
282,STM14_0073,STM0062,100.0,183,0,0,1,183,1,183,4.999999999999999e-134,374.0,183,1.0,<=>
284,STM14_0074,STM0063,100.0,302,0,0,1,302,1,302,0.0,619.0,302,1.0,<=>
288,STM14_0075,STM0064,100.0,273,0,0,1,273,1,273,0.0,547.0,273,1.0,<=>
289,STM14_0077,STM0066,100.0,382,0,0,1,382,1,382,0.0,793.0,382,1.0,<=>
293,STM14_0078,STM0067,100.0,1075,0,0,1,1075,1,1075,0.0,2208.0,1075,1.0,<=>
304,STM14_0081,STM0068,100.0,131,0,0,1,131,1,131,6.999999999999998e-95,270.0,131,1.0,<=>
305,STM14_0082,STM0069,100.0,198,0,0,1,198,1,198,8.999999999999998e-147,407.0,198,1.0,<=>
307,STM14_0083,STM0070,100.0,261,0,0,1,261,1,261,0.0,526.0,261,1.0,<=>
311,STM14_0084,STM0071,100.0,517,0,0,1,517,1,517,0.0,1084.0,517,1.0,<=>
320,STM14_0085,STM0072,100.0,405,0,0,1,405,1,405,0.0,846.0,405,1.0,<=>
321,STM14_0087,STM0073,100.0,380,0,0,1,380,1,380,0.0,791.0,380,1.0,<=>
326,STM14_0088,STM0074,99.8,505,1,0,1,505,1,505,0.0,1019.0,505,1.0,<=>
327,STM14_0090,STM0075,100.0,256,0,0,1,256,1,256,0.0,514.0,256,1.0,<=>
330,STM14_0091,STM0076,100.0,313,0,0,1,313,1,313,0.0,644.0,313,1.0,<=>
333,STM14_0092,STM0077,99.77,428,1,0,1,428,1,428,0.0,867.0,428,1.0,<=>
337,STM14_0093,STM0078,100.0,95,0,0,1,95,1,95,1.9999999999999996e-67,198.0,95,1.0,<=>
339,STM14_0094,STM0079,100.0,446,0,0,1,446,1,446,0.0,893.0,446,1.0,<=>
359,STM14_0095,STM0080,100.0,76,0,0,1,76,1,76,1.9999999999999997e-51,156.0,76,1.0,<=>
364,STM14_0096,STM0081,100.0,138,0,0,1,138,1,138,7.999999999999998e-103,291.0,138,1.0,<=>
365,STM14_0098,STM0082,100.0,96,0,0,1,96,1,96,5e-66,194.0,96,1.0,<=>
369,STM14_0099,STM0083,100.0,64,0,0,1,64,1,64,2e-42,132.0,64,1.0,<=>
370,STM14_0100,STM0084,100.0,629,0,0,1,629,1,629,0.0,1318.0,629,1.0,<=>
375,STM14_0103,STM0085,100.0,176,0,0,1,176,1,176,1.9999999999999995e-131,367.0,176,1.0,<=>
378,STM14_0104,STM0086,100.0,620,0,0,1,620,1,620,0.0,1227.0,620,1.0,<=>
382,STM14_0106,STM0087,100.0,159,0,0,1,159,1,159,9.999999999999998e-119,333.0,159,1.0,<=>
383,STM14_0107,STM0088,100.0,282,0,0,1,282,1,282,0.0,585.0,282,1.0,<=>
386,STM14_0108,STM0089,100.0,125,0,0,1,125,1,125,9.999999999999999e-90,256.0,125,1.0,<=>
387,STM14_0109,STM0090,99.63,273,1,0,1,273,1,273,0.0,563.0,273,1.0,<=>
388,STM14_0110,STM0091,99.7,329,1,0,1,329,1,329,0.0,659.0,329,1.0,<=>
390,STM14_0111,STM0092,100.0,428,0,0,1,428,1,428,0.0,878.0,428,1.0,<=>
395,STM14_0112,STM0093,99.87,786,1,0,1,786,1,786,0.0,1633.0,786,1.0,<=>
396,STM14_0114,STM0094,100.0,270,0,0,1,270,1,270,0.0,560.0,270,1.0,<=>
398,STM14_0115,STM0095,100.0,219,0,0,1,219,1,219,9.999999999999998e-166,457.0,219,1.0,<=>
402,STM14_0116,STM0096,100.0,968,0,0,1,968,1,968,0.0,1986.0,968,1.0,<=>
405,STM14_0117,STM0097,100.0,783,0,0,1,783,1,783,0.0,1626.0,783,1.0,<=>
406,STM14_0118,STM0098,100.0,206,0,0,45,250,1,206,9.999999999999998e-152,422.0,250,0.824,<=>
409,STM14_0119,STM0100,100.0,139,0,0,1,139,1,139,9.999999999999997e-103,291.0,139,1.0,<=>
410,STM14_0120,STM0101,100.0,231,0,0,1,231,1,231,1.9999999999999992e-175,483.0,231,1.0,<=>
414,STM14_0121,STM0102,100.0,500,0,0,1,500,1,500,0.0,1044.0,500,1.0,<=>
415,STM14_0122,STM0103,100.0,569,0,0,1,569,1,569,0.0,1172.0,569,1.0,<=>
420,STM14_0123,STM0104,100.0,281,0,0,1,281,1,281,0.0,586.0,281,1.0,<=>
439,STM14_0124,STM0105,99.61,255,1,0,1,255,1,255,0.0,500.0,255,1.0,<=>
443,STM14_0125,STM0106,100.0,235,0,0,1,235,1,235,6.999999999999996e-171,472.0,235,1.0,<=>
529,STM14_0126,STM0107,100.0,536,0,0,1,536,1,536,0.0,1057.0,536,1.0,<=>
534,STM14_0127,STM0108,100.0,327,0,0,1,327,1,327,0.0,669.0,327,1.0,<=>
536,STM14_0129,STM0109,99.82,552,1,0,1,552,1,552,0.0,1133.0,552,1.0,<=>
543,STM14_0131,STM0110,100.0,201,0,0,1,201,1,201,9.999999999999996e-151,418.0,201,1.0,<=>
545,STM14_0132,STM0111,100.0,466,0,0,1,466,1,466,0.0,963.0,466,1.0,<=>
549,STM14_0133,STM0112,100.0,363,0,0,1,363,1,363,0.0,748.0,363,1.0,<=>
551,STM14_0134,STM0113,100.0,523,0,0,1,523,1,523,0.0,1082.0,523,1.0,<=>
552,STM14_0135,STM0114,100.0,28,0,0,1,28,1,28,4e-14,57.4,28,1.0,<=>
553,STM14_0138,STM0115,100.0,314,0,0,1,314,1,314,0.0,654.0,314,1.0,<=>
575,STM14_0139,STM0116,100.0,553,0,0,1,553,1,553,0.0,1146.0,553,1.0,<=>
583,STM14_0140,STM0117,100.0,163,0,0,1,163,1,163,6.999999999999999e-115,324.0,163,1.0,<=>
585,STM14_0142,STM0118,100.0,334,0,0,1,334,1,334,0.0,687.0,334,1.0,<=>
599,STM14_0145,STM0119,100.0,152,0,0,1,152,1,152,2.9999999999999993e-111,314.0,152,1.0,<=>
600,STM14_0146,STM0120,100.0,313,0,0,1,313,1,313,0.0,632.0,313,1.0,<=>
601,STM14_0147,STM0121,100.0,121,0,0,1,121,1,121,2.9999999999999996e-85,245.0,121,1.0,<=>
602,STM14_0148,STM0122,100.0,588,0,0,1,588,1,588,0.0,1202.0,588,1.0,<=>
607,STM14_0149,STM0123,99.8,495,1,0,1,495,1,495,0.0,1009.0,495,1.0,<=>
610,STM14_0150,STM0124,100.0,452,0,0,1,452,1,452,0.0,919.0,452,1.0,<=>
613,STM14_0151,STM0125,100.0,360,0,0,1,360,1,360,0.0,719.0,360,1.0,<=>
614,STM14_0152,STM0126,100.0,438,0,0,1,438,1,438,0.0,895.0,438,1.0,<=>
618,STM14_0153,STM0127,100.0,414,0,0,1,414,1,414,0.0,825.0,414,1.0,<=>
620,STM14_0154,STM0128,100.0,355,0,0,1,355,1,355,0.0,712.0,355,1.0,<=>
621,STM14_0155,STM0129,100.0,491,0,0,1,491,1,491,0.0,1006.0,491,1.0,<=>
624,STM14_0156,STM0130,100.0,306,0,0,1,306,1,306,0.0,618.0,306,1.0,<=>
626,STM14_0157,STM0131,100.0,276,0,0,1,276,1,276,0.0,569.0,276,1.0,<=>
627,STM14_0158,STM0132,100.0,420,0,0,1,420,1,420,0.0,855.0,420,1.0,<=>
628,STM14_0159,STM0133,100.0,383,0,0,1,383,1,383,0.0,762.0,383,1.0,<=>
629,STM14_0160,STM0134,100.0,305,0,0,1,305,1,305,0.0,632.0,305,1.0,<=>
630,STM14_0161,STM0135,100.0,142,0,0,24,165,1,142,9.999999999999998e-99,282.0,165,0.8606060606060606,<=>
631,STM14_0162,STM0136,100.0,901,0,0,1,901,1,901,0.0,1863.0,901,1.0,<=>
634,STM14_0163,STM0137,100.0,131,0,0,1,131,1,131,2e-93,266.0,131,1.0,<=>
639,STM14_0166,STM0138,100.0,63,0,0,1,63,1,63,1e-41,130.0,63,1.0,<=>
640,STM14_0167,STM0139,100.0,247,0,0,1,247,1,247,0.0,500.0,247,1.0,<=>
641,STM14_0168,STM0140,100.0,206,0,0,1,206,1,206,9.999999999999996e-151,418.0,206,1.0,<=>
642,STM14_0169,STM0141,100.0,347,0,0,1,347,1,347,0.0,715.0,347,1.0,<=>
644,STM14_0170,STM0142,100.0,400,0,0,1,400,1,400,0.0,805.0,400,1.0,<=>
645,STM14_0171,STM0143,99.78,461,1,0,1,461,1,461,0.0,939.0,461,1.0,<=>
647,STM14_0172,STM0144,100.0,145,0,0,1,145,1,145,1.9999999999999996e-106,301.0,145,1.0,<=>
648,STM14_0174,STM0145,100.0,297,0,0,1,297,1,297,0.0,602.0,297,1.0,<=>
649,STM14_0175,STM0146,99.47,187,1,0,1,187,1,187,6.999999999999998e-140,389.0,187,1.0,<=>
651,STM14_0176,STM0147,100.0,284,0,0,1,284,1,284,0.0,575.0,284,1.0,<=>
652,STM14_0177,STM0148,100.0,316,0,0,1,316,1,316,0.0,662.0,316,1.0,<=>
653,STM14_0178,STM0149,99.79,468,1,0,1,468,1,468,0.0,955.0,468,1.0,<=>
660,STM14_0180,STM0150,100.0,457,0,0,1,457,1,457,0.0,919.0,457,1.0,<=>
675,STM14_0182,STM0151,100.0,254,0,0,1,254,1,254,0.0,508.0,254,1.0,<=>
693,STM14_0183,STM0152,100.0,887,0,0,1,887,1,887,0.0,1846.0,887,1.0,<=>
696,STM14_0184,STM0153,100.0,629,0,0,1,629,1,629,0.0,1242.0,629,1.0,<=>
698,STM14_0185,STM0154,100.0,474,0,0,1,474,1,474,0.0,957.0,474,1.0,<=>
704,STM14_0187,STM0155,100.0,94,0,0,1,94,1,94,1.9999999999999996e-64,190.0,94,1.0,<=>
705,STM14_0188,STM0156,100.0,263,0,0,1,263,1,263,0.0,545.0,263,1.0,<=>
